"","EdgeCount","degree_in","degree_out","BetweennessCentrality","eigenvector_centrality","ClusteringCoefficient","pagerank"
"AT1G02860",0.00207961972667855,0,49,9.06389630307693e-08,0.0390596753410457,0.35969387755102,1.0070188486382e-05
"AT1G02870",0.00169764875647229,0,40,4.17519827862778e-08,0.0310800715411477,0.358974358974359,1.0070188486382e-05
"AT1G02880",0.00089126559714795,0,21,1.18114401997582e-08,0.0173455160506704,0.376190476190476,1.0070188486382e-05
"AT1G02890",0.00403191579662168,0,95,3.36826199682373e-07,0.0792633534095754,0.353191489361702,1.0070188486382e-05
"AT1G02900",8.48824378236143e-05,0,2,5.52499534892974e-11,0.00110636346729945,0,1.0070188486382e-05
"AT1G02910",0.00224938460232578,0,53,6.17377895750879e-08,0.0507843676521629,0.372278664731495,1.0070188486382e-05
"AT1G02920",0.000976148034971564,0,23,1.55356981271542e-08,0.0157647956595881,0.387351778656127,1.0070188486382e-05
"AT1G02930",0.00140056022408964,0,33,2.32163783422009e-08,0.0205302645957793,0.257575757575758,1.0070188486382e-05
"AT1G02940",0.00110347169170699,0,26,4.04860661865303e-08,0.0240109545973474,0.443076923076923,1.0070188486382e-05
"AT1G02950",0.00182497241320771,0,43,1.16016037857498e-07,0.0327087805235288,0.256921373200443,1.0070188486382e-05
"AT1G02960",0.00190985485103132,0,45,7.18501982980498e-08,0.0333956714742232,0.321212121212121,1.0070188486382e-05
"AT1G02965",0.00140056022408964,0,33,2.54841236745409e-08,0.0294190571258951,0.456439393939394,1.0070188486382e-05
"AT1G02970",0.00106103047279518,0,25,2.25787878377023e-08,0.0272543395594209,0.456666666666667,1.0070188486382e-05
"AT1G02980",0.00161276631864867,0,38,5.37467033105103e-08,0.0359117756998785,0.372688477951636,1.0070188486382e-05
"AT1G02990",0.00331041507512096,0,78,2.11300057558289e-07,0.0658493965531661,0.286380286380286,1.0070188486382e-05
"AT1G03000",0.00326797385620915,0,77,1.65520027113068e-07,0.0678937732376682,0.346548188653452,1.0070188486382e-05
"AT1G03010",0.00441388676682794,0,104,4.28178437345485e-07,0.0831566592916712,0.324495892457057,1.0070188486382e-05
"AT1G03020",0.000127323656735421,0,3,4.785243163539e-11,0.00111335070624199,0,1.0070188486382e-05
"AT1G03030",0.00190985485103132,0,45,4.5555055830788e-08,0.0347357568811504,0.370707070707071,1.0070188486382e-05
"AT1G03040",0.00254647313470843,0,60,2.02458905217355e-07,0.0453633213164642,0.275141242937853,1.0070188486382e-05
