"","x"
"AT1G04800",6.61644794816484e-07
"AT1G04810",0.0103206137306524
"AT1G04820",0.0126417763458066
"AT1G04830",0.00128610476986889
"AT1G04840",0.0710180034474902
"AT1G04850",0.000145935414475687
"AT1G04860",0.0050135124770532
"AT1G04870",2.63679420163824e-05
"AT1G04880",0.0227363239906877
"AT1G04890",1.17299863730009
"AT1G04900",0.00139219712652268
"AT1G04910",0.0718789420759734
"AT1G04920",5.62364394667893e-07
"AT1G04930",2.39105911508802e-10
"AT1G04940",0.00393580260411385
"AT1G04945",0.112108735572766
"AT1G04950",0.000833585979759534
"AT1G04960",0.00117100504365746
"AT1G04970",0.0328313252533903
"AT1G04980",3.9696883172659e-05
"AT1G04985",0.0321157305113924
"AT1G04990",0.00132085688614854
"AT1G05000",1.01017681296788e-06
"AT1G05010",4.27374178656695e-05
"AT1G05020",3.63562737674123e-10
"AT1G05030",1.21380886022152e-06
"AT1G05040",3.82732365677111e-05
"AT1G05055",0.000667497971141738
"AT1G05060",0.00739505396844284
"AT1G05065",0.0267841351730153
"AT1G05070",0.00109087954467286
"AT1G05080",0.00230960161253246
"AT1G05085",0.00113530324452554
"AT1G05100",5.28982398230963e-08
"AT1G05120",0.0885225326611755
"AT1G05136",0.0493473872382618
"AT1G05140",0.00160128250528352
"AT1G05150",0.00341160978164184
"AT1G05160",0.00672287011276115
"AT1G05170",0.00390572940035952
"AT1G05180",0.000465074824493282
"AT1G05190",0.00897682318222365
"AT1G05200",8.86902655358971e-06
"AT1G05205",0.001600694145951
"AT1G05210",0.0229697445585173
"AT1G05220",0.0156185155836001
"AT1G05230",4.03909232826882e-06
"AT1G05260",0.253304998665341
"AT1G05270",6.64441924244652e-06
"AT1G05280",3.39197852787993e-05
"AT1G05290",0.000646979755873465
"AT1G05291",0.439709815904202
"AT1G05300",1.18652341532736e-09
"AT1G05310",5.44845018602611e-15
"AT1G05320",0.00154346339853054
"AT1G05330",0.0365418624728434
"AT1G05340",0.000785638208776286
"AT1G05350",0.00549929197950554
"AT1G05360",0.04607867606122
"AT1G05370",1.65333413791925e-10
"AT1G05380",9.24993528372198e-06
"AT1G05385",0.00178674481640674
"AT1G05400",0.028581991954013
"AT1G05410",0.0607087631445074
"AT1G05420",2.40823602793793e-08
"AT1G05430",0.00152375605002428
"AT1G05440",0.0311564135820579
"AT1G05450",0.0107040108576627
"AT1G05460",0.000126980409448029
"AT1G05470",8.09214648891836e-07
"AT1G05490",0.417778874659094
"AT1G05500",8.53028983122488e-05
"AT1G05510",0.0536061827521301
"AT1G05520",0.000767589611643872
"AT1G05530",0.0085386419328653
"AT1G05540",0.0195086614312008
"AT1G05550",1.7398041179464
"AT1G05560",2.45457555259832e-08
"AT1G05570",0.000467404618151729
"AT1G05575",0.0337982056717567
"AT1G05577",3.60593829006114e-05
"AT1G05580",0.0166235262792138
"AT1G05590",0.00605428198801412
"AT1G05600",0.0120217304979277
"AT1G05610",8.12233124953099e-05
"AT1G05615",1.35388312266639e-09
"AT1G05620",1.90329291863218e-05
"AT1G05630",1.42286240365807e-08
"AT1G05640",0.123392251388503
"AT1G05650",0.0293498335725593
"AT1G05660",0.0311987743595231
"AT1G05670",0.000103430453207776
"AT1G05675",2.13688472368433e-09
"AT1G05680",2.7974090491371
"AT1G05690",9.09268562912833e-09
"AT1G05700",0.0108351246261795
"AT1G05710",0.0210182896093309
"AT1G05720",0.00411035621138061
"AT1G05730",0.0113902412239701
"AT1G05740",0.0351922375365421
"AT1G05750",0.0520727691204977
"AT1G05760",0.000122446340795422
"AT1G05770",6.03261831081516e-06
"AT1G05780",0.00893066372133005
"AT1G05785",0.00084920287936531
