"","EdgeCount","degree_in","degree_out","BetweennessCentrality","eigenvector_centrality","ClusteringCoefficient","pagerank"
"AT5G17650",0.00150343642611684,0,42,1.46877276443972e-07,0.0354823743443914,0.364692218350755,8.51331424974066e-06
"AT5G17660",0.00157502863688431,0,44,1.34503107955793e-07,0.0369693228615147,0.378435517970402,8.51331424974066e-06
"AT5G17670",0.00121706758304696,0,34,1.09512118235356e-08,0.0241638343185017,0.556149732620321,8.51331424974066e-06
"AT5G17680",0.00204037800687285,0,57,3.05583442544371e-07,0.045817482028895,0.379699248120301,8.51331424974066e-06
"AT5G17690",0.0025057273768614,0,70,2.93090655708512e-07,0.05472651943188,0.354037267080745,8.51331424974066e-06
"AT5G17700",0.00282789232531501,0,79,9.25023043524025e-07,0.0557054969217769,0.309315157416423,8.51331424974066e-06
"AT5G17710",0.00196878579610538,0,55,1.90145146166997e-07,0.0475578174127485,0.391245791245791,8.51331424974066e-06
"AT5G17720",0.00218356242840779,0,61,1.45711078980015e-07,0.0468240891815322,0.39344262295082,8.51331424974066e-06
"AT5G17725",0.00110967926689576,0,31,1.28661886199323e-07,0.0280021239241959,0.376344086021505,8.51331424974066e-06
"AT5G17730",0.0011454753722795,0,32,4.25796282326038e-08,0.0268804177402258,0.391129032258065,8.51331424974066e-06
"AT5G17740",0.00118127147766323,0,33,6.35726502756129e-08,0.0262293158301511,0.354166666666667,8.51331424974066e-06
"AT5G17750",0.000644329896907216,0,18,2.58038863195013e-08,0.0139203550492185,0.42483660130719,8.51331424974066e-06
"AT5G17760",0.00304266895761741,0,85,2.83303463775127e-07,0.0626712601453626,0.331932773109244,8.51331424974066e-06
"AT5G17770",0.00168241695303551,0,47,1.78720806508013e-07,0.0357563012942761,0.325624421831637,8.51331424974066e-06
"AT5G17780",0.00196878579610538,0,55,1.14607137182858e-07,0.0436798089499946,0.36026936026936,8.51331424974066e-06
"AT5G17790",0.00150343642611684,0,42,1.42798231221967e-07,0.0346232665075877,0.385598141695703,8.51331424974066e-06
"AT5G17795",0.000715922107674685,0,20,2.98698512673087e-08,0.0138280528881227,0.252631578947368,8.51331424974066e-06
"AT5G17800",0.0187929553264605,482,43,0.000113080899082661,0.0838195505270407,0.0556621880998081,0.000596352391331992
"AT5G17810",0.00425973654066438,0,119,1.20289525785346e-06,0.0827846900179097,0.312063808574277,8.51331424974066e-06
"AT5G17820",0.0013602520045819,0,38,3.42619826495436e-07,0.0284532820475644,0.344238975817923,8.51331424974066e-06
"AT5G17830",0.00200458190148912,0,56,1.9867828784036e-07,0.0472376296716998,0.336363636363636,8.51331424974066e-06
"AT5G17840",0.00100229095074456,0,28,5.62928438170121e-08,0.0227879066494923,0.312169312169312,8.51331424974066e-06
"AT5G17850",0.000501145475372279,0,14,2.9074017994481e-08,0.0122249235207814,0.395604395604396,8.51331424974066e-06
"AT5G17860",0.00200458190148912,0,56,1.80472377961199e-07,0.0424108691447952,0.338961038961039,8.51331424974066e-06
"AT5G17870",0.000322164948453608,0,9,2.44579638530297e-09,0.00855240007826036,0.555555555555556,8.51331424974066e-06
"AT5G17880",0.00175400916380298,0,49,1.31892381645845e-07,0.0427462481797491,0.334183673469388,8.51331424974066e-06
"AT5G17890",0.00318585337915235,0,89,5.55536602566243e-07,0.0727773186963235,0.357252298263534,8.51331424974066e-06
"AT5G17900",0.000286368843069874,0,8,1.9214758461023e-09,0.00552436436027217,0.357142857142857,8.51331424974066e-06
"AT5G17910",0.00175400916380298,0,49,3.16985457861937e-07,0.0428795641837875,0.346938775510204,8.51331424974066e-06
"AT5G17920",0.00157502863688431,0,44,1.26826445356302e-07,0.035115023677706,0.413319238900634,8.51331424974066e-06
"AT5G17930",0.00189719358533792,0,53,2.48156921282008e-07,0.0456341261352061,0.330914368650218,8.51331424974066e-06
"AT5G17950",0.000143184421534937,0,4,3.6325355788979e-09,0.00316067820126788,0.333333333333333,8.51331424974066e-06
"AT5G17960",0.00128865979381443,0,36,1.22090992251704e-07,0.0276702797164861,0.382539682539683,8.51331424974066e-06
"AT5G17970",0.000787514318442154,0,22,3.95251545825686e-08,0.0198016620260276,0.385281385281385,8.51331424974066e-06
"AT5G17980",0.00393757159221077,0,110,6.37967149548367e-07,0.0658084650802022,0.314929107589658,8.51331424974066e-06
"AT5G17990",0.00211197021764032,0,59,2.36813065048781e-07,0.0491263505268645,0.389830508474576,8.51331424974066e-06
"AT5G18000",0.0014676403207331,0,41,1.24915007758631e-07,0.036572606737221,0.486585365853659,8.51331424974066e-06
"AT5G18005",3.57961053837343e-05,0,1,0,0.000968427781546965,0,8.51331424974066e-06
"AT5G18020",7.15922107674685e-05,0,2,0,0.00169721601634539,1,8.51331424974066e-06
"AT5G18030",0.000143184421534937,0,4,4.32993108472521e-10,0.00310862208782338,0.5,8.51331424974066e-06
"AT5G18037",0.000501145475372279,0,14,4.98468653779827e-09,0.015327314889364,0.428571428571429,8.51331424974066e-06
"AT5G18040",0.000715922107674685,0,20,3.54068651082627e-08,0.0173005420723572,0.342105263157895,8.51331424974066e-06
"AT5G18050",0.000178980526918671,0,5,8.12811000477044e-10,0.00500849538251878,0.4,8.51331424974066e-06
"AT5G18060",0.000286368843069874,0,8,7.58164727254979e-09,0.0061602052398308,0.357142857142857,8.51331424974066e-06
"AT5G18065",0.00128865979381443,0,36,8.81568881109771e-08,0.02966967827317,0.334920634920635,8.51331424974066e-06
"AT5G18070",0.00093069873997709,0,26,1.89769279774419e-08,0.0254036078348806,0.403076923076923,8.51331424974066e-06
"AT5G18080",0.000107388316151203,0,3,2.02403840092882e-10,0.00314456213132246,0.666666666666667,8.51331424974066e-06
"AT5G18090",0.00178980526918671,0,50,1.78568204799913e-07,0.0416212624481447,0.417142857142857,8.51331424974066e-06
"AT5G18100",0.000465349369988545,0,13,1.77341986234316e-08,0.0099608574359512,0.320512820512821,8.51331424974066e-06
"AT5G18110",0.00107388316151203,0,30,4.56988819272723e-08,0.0298772412014045,0.468965517241379,8.51331424974066e-06
"AT5G18120",0.0014676403207331,0,41,1.30876887660856e-07,0.0320527444391989,0.459756097560976,8.51331424974066e-06
"AT5G18130",0.00357961053837342,0,100,7.47607451058867e-07,0.0670149252118966,0.310909090909091,8.51331424974066e-06
"AT5G18140",0.0011454753722795,0,32,8.78715929824442e-08,0.0284890211368353,0.419354838709677,8.51331424974066e-06
"AT5G18150",0.000429553264604811,0,12,1.06293398441857e-08,0.0122790532661477,0.621212121212121,8.51331424974066e-06
"AT5G18160",0.000429553264604811,0,12,5.66993757271819e-09,0.0123951045562445,0.545454545454545,8.51331424974066e-06
"AT5G18170",0.00246993127147766,0,69,2.28042459963567e-07,0.0569393595689971,0.357203751065644,8.51331424974066e-06
