GeneID	interaction.pvals	tissue.treatment.specificity	Betweenness.Centrality	Connectivity	Transitivity	Eigenvector	PageRank	DE
AT5G22040	0.000326936366239993	0	6.70636343997693e-07	0.00129173290937997	0.428571428571429	0.0133919655146453	0.00388550592454051	0.0463610396944551
AT5G22050	0.00089989171939311	0.338297771807413	2.95439302068794e-06	0.00317965023847377	0.418560606060606	0.0326593729559428	0.00747864015257855	0.0973093448671613
AT5G22060	1.95968092844682e-06	0	3.44739408786982e-06	0.00437201907790143	0.473737373737374	0.0449550571208056	0.0109806858427108	0.00425306679048249
AT5G22070	1.54469972668738e-05	0.23555063626875	4.10665803121427e-06	0.00427265500794913	0.395348837209302	0.0390334528147163	0.0132101467185234	0.158185228863346
AT5G22080	0.000458367153285828	0.201751179283695	7.2935228955659e-07	0.00168918918918919	0.444444444444444	0.0196033796148014	0.00327590047167052	0.123024395461124
AT5G22090	2.61063392190871e-06	0	6.57006403870215e-07	0.00248410174880763	0.455384615384615	0.0312513092182306	0.00270942315735461	0.00640227457222925
AT5G22100	7.27274533748532e-06	0	4.83819381170708e-06	0.00347774244833068	0.39047619047619	0.0346761831612196	0.00688640024783595	0.00590194417049065
AT5G22110	0.00372322191007698	0	2.842245470305e-07	0.000298092209856916	0.333333333333333	0.00245729544579914	0.00375094988366401	0.0334136942744497
AT5G22120	3.5984185178555e-05	0	2.89102328393547e-07	0.000993640699523052	0.363636363636364	0.00910752915714186	0.00231162649337765	0.0168980926890596
AT5G22130	0.0126294816411951	0.365567865526286	6.63654082970967e-08	0.000298092209856916	0.5	0.00460434631894628	0.000384182860327766	0.0705885740740116
AT5G22140	0.0347123104928188	0	1.88503123842985e-07	0.00129173290937997	0.472527472527473	0.0179696949096133	0.00144188300897192	0.000385051904006704
AT5G22150	9.47419523194934e-10	0.649280172867699	1.04583308678789e-06	0.00268282988871224	0.431216931216931	0.0241380392301187	0.00622243906152531	0.0776514811968879
AT5G22160	0.100272722423564	0	6.87040687557951e-07	0.0019872813990461	0.39047619047619	0.0198969187957279	0.00445022719805241	2.70360167939603e-06
AT5G22170	0.0755109292821794	0	6.99710657811483e-07	0.00119236883942766	0.346153846153846	0.00878587221143475	0.00318790435969599	8.970127850407e-05
AT5G22180	0.030544606352826	0	3.80150283436774e-06	0.00536565977742448	0.363636363636364	0.0484997677431117	0.0124331079127752	4.46013170333952e-06
AT5G22190	2.76537445416929e-05	0	5.20446670781785e-07	0.00208664546899841	0.502164502164502	0.0256039412550307	0.00327972244547715	0.000645311543439782
AT5G22200	0.0112119649631978	0.157185301984089	3.6661735208886e-07	0.000993640699523052	0.436363636363636	0.0115459407248843	0.00205061752903467	0.00209775773671244
AT5G22210	5.71039971562316e-08	0	1.9388206799942e-06	0.00437201907790143	0.447474747474748	0.0479359463640232	0.00639453971934972	0.0191511614799526
AT5G22220	0.000920813603644679	0	1.14080547893351e-06	0.00129173290937997	0.362637362637363	0.0117716228262793	0.00657983989775984	0.0808381516193576
AT5G22240	0.000394677895847577	0	1.48402596179593e-07	0.000993640699523052	0.0909090909090909	0.00558502284089985	0.0136095685323983	0.0437981748032288
AT5G22250	0.000843978733301867	0.162282899124425	5.42602453935149e-06	0.00298092209856916	0.298924731182796	0.027306331723125	0.00736484806807069	0.0631435501221506
AT5G22260	1.17375430168731e-05	0	3.21437126621404e-06	0.00407392686804452	0.353077816492451	0.0316086437267291	0.0123578504242741	0.00134726674261617
AT5G22270	5.49836950768748e-05	0.372049951577148	5.5430023264068e-06	0.00337837837837838	0.41344537815126	0.0341849973178618	0.00548886957918987	0.0460479259222319
AT5G22280	0.0164184374367154	0	6.58626330471859e-09	0.000198728139904611	0.666666666666667	0.00377698160291467	0.000227117992342591	0.0208090720861312
AT5G22290	0.000870243545741682	0.276466197751605	3.01082750970476e-06	0.00486883942766296	0.406530612244898	0.0416759129988031	0.00982000439881597	0.0458714218558412
