"","x"
"AT1G02710",2.89298239965986e-16
"AT1G02720",1.10163856758248e-05
"AT1G02730",0.00415654530309749
"AT1G02740",0.00588825410644154
"AT1G02750",0.00821142070237144
"AT1G02770",0.000726619438472555
"AT1G02780",0.00133031931099514
"AT1G02790",0.168664465135326
"AT1G02800",0.741761643796616
"AT1G02810",1.12298394292251e-05
"AT1G02813",0.184222489406382
"AT1G02816",0.302765812852367
"AT1G02820",8.57100086518483e-05
"AT1G02830",0.000426445487152765
"AT1G02840",0.0930092516919185
"AT1G02850",0.00588951505709185
"AT1G02860",0.01822064745626
"AT1G02870",0.000341404035669203
"AT1G02880",0.00168706956207885
"AT1G02890",0.00211693516399771
"AT1G02900",0.0663220177442442
"AT1G02910",0.000431624965564472
"AT1G02920",0.000871880700886168
"AT1G02930",0.00125835921781106
"AT1G02940",0.072311458387219
"AT1G02950",0.0817595143462447
"AT1G02960",0.0497625021852811
"AT1G02965",0.00221442507774023
"AT1G02970",0.00345621541440327
"AT1G02980",0.0376005780412624
"AT1G02990",0.19469990864273
"AT1G03000",0.105261141705719
"AT1G03010",0.0390128559918048
"AT1G03020",0.118920983833377
"AT1G03030",0.0579475845646087
"AT1G03040",0.171628983506324
"AT1G03050",0.449505821490895
"AT1G03055",2.36203416497549e-05
"AT1G03060",0.00431566289509633
"AT1G03070",0.581323406474437
"AT1G03080",0.0406667715175396
"AT1G03090",0.0947291187004778
"AT1G03100",0.00504172204432275
"AT1G03103",0.0362349377338654
"AT1G03106",0.214464402501563
"AT1G03110",0.11418890830176
"AT1G03120",4.70225941725277e-07
"AT1G03130",8.8065285974739e-06
"AT1G03140",0.0657972423454886
"AT1G03150",0.0179762917403655
"AT1G03160",2.38296672439671e-05
"AT1G03170",0.299041920132678
"AT1G03180",0.0325401897074568
"AT1G03190",0.0453018562031583
"AT1G03210",0.00103101401112329
"AT1G03220",0.00127930948364397
"AT1G03230",2.93051014731907e-05
"AT1G03240",0.0443841270831856
"AT1G03250",0.000778616234700226
"AT1G03260",0.00219395570159336
"AT1G03270",0.00219088721692667
"AT1G03280",0.0854264226693066
"AT1G03290",0.106512907615673
"AT1G03300",0.201314979079145
"AT1G03310",0.00184937396242831
"AT1G03320",9.6115608941737e-05
"AT1G03330",0.229831367818918
"AT1G03340",0.00179202767822313
"AT1G03350",0.077191645849129
"AT1G03360",0.00710885103140409
"AT1G03365",0.0609245765567523
"AT1G03370",0.00591082860562713
"AT1G03380",0.00197277669530146
"AT1G03390",3.62691533909967e-08
"AT1G03400",0.274925959256523
"AT1G03410",0.00931768096904459
"AT1G03430",0.00183831583581913
"AT1G03440",3.34800176253473e-10
"AT1G03445",0.00482107888691036
"AT1G03457",0.0123611881257495
"AT1G03470",0.0922490627176272
"AT1G03475",0.0128039444444828
"AT1G03490",2.24692466182821e-09
"AT1G03510",0.910180506765365
"AT1G03520",0.0454711575839488
"AT1G03530",0.00854235457648659
"AT1G03540",0.0224406869846861
"AT1G03550",0.0219278049452609
"AT1G03560",0.333578405222367
"AT1G03590",0.11066447195531
"AT1G03600",9.69696052988331e-07
"AT1G03610",0.0307140839005645
"AT1G03620",0.0401073598931154
"AT1G03630",7.45632809728201e-06
"AT1G03650",0.00713504355237458
"AT1G03660",0.0855408349875856
"AT1G03670",4.1033339113114e-11
"AT1G03680",0.0159427538898178
"AT1G03687",0.137765915386181
"AT1G03700",0.294707188718233
"AT1G03710",0.76641372447933
"AT1G03720",1.51479121700592
"AT1G03730",6.91644840559822e-06
"AT1G03740",2.33842391926515e-06
"AT1G03750",0.0342875811021531
"AT1G03760",0.0833262488760695
"AT1G03770",0.0475572483424579
"AT1G03780",0.000799214257067551
"AT1G03790",0.83317498991345
"AT1G03810",10.6026871589585
"AT1G03820",0.0049484923080185
"AT1G03830",0.0975946738279104
"AT1G03840",0.00294307156730434
"AT1G03850",0.020203116479517
"AT1G03860",0.173373904186393
"AT1G03870",5.80027348906878e-05
"AT1G03880",0.0100912730618832
"AT1G03890",0.135334203112272
"AT1G03900",0.0427375529757624
"AT1G03905",0.506760612049893
"AT1G03910",0.166867820660438
"AT1G03920",0.000121883335770382
"AT1G03930",0.00483963069269272
"AT1G03950",0.00984906848720032
"AT1G03960",0.194517016402448
"AT1G03970",0.0286082524281442
"AT1G03980",0.0908891263803875
"AT1G03982",7.28528929597792e-09
"AT1G03990",2.50618695402535e-07
"AT1G04000",9.07488945862554e-10
"AT1G04010",0.0392418986514667
"AT1G04020",0.187701835698963
"AT1G04030",0.142122592483754
"AT1G04040",1.27655320379343e-05
"AT1G04050",0.0424768622529778
"AT1G04070",0.00833750139150891
"AT1G04080",0.170698962523842
"AT1G04090",0.00293595397655429
"AT1G04100",0.00473111084512574
"AT1G04110",0.0212606331086543
"AT1G04120",0.508757678579175
"AT1G04130",0.12564224918844
"AT1G04140",0.104768488994599
"AT1G04150",0.0340725802575481
"AT1G04160",0.012952949303435
"AT1G04170",0.312860863650844
"AT1G04180",0.00418490899395216
"AT1G04190",0.00695231240766985
"AT1G04200",0.0079687403981981
"AT1G04210",0.850934421540247
"AT1G04220",0.0870483033906534
"AT1G04230",0.136779845784075
"AT1G04240",0.0389449918571038
"AT1G04250",1.17829424769316e-05
"AT1G04260",0.0245335350845106
"AT1G04270",3.78616867864064e-05
"AT1G04280",0.0475495904673783
"AT1G04290",8.59789856163261e-06
"AT1G04300",0.172193008734079
